CC-CODE,province,TOTAL
1,กรุงเทพมหานคร,5588222
2,จังหวัดสมุทรปราการ,1351479
3,จังหวัดนนทบุรี,1276745
4,จังหวัดปทุมธานี,1176412
5,จังหวัดพระนครศรีอยุธยา,819088
6,จังหวัดอ่างทอง,276584
7,จังหวัดลพบุรี,742928
8,จังหวัดสิงห์บุรี,205898
9,จังหวัดชัยนาท,322477
10,จังหวัดสระบุรี,643828
11,จังหวัดชลบุรี,1566885
12,จังหวัดระยอง,741524
13,จังหวัดจันทบุรี,535559
14,จังหวัดตราด,228536
15,จังหวัดฉะเชิงเทรา,720718
16,จังหวัดปราจีนบุรี,493670
17,จังหวัดนครนายก,260081
18,จังหวัดสระแก้ว,560925
19,จังหวัดนครราชสีมา,2633207
20,จังหวัดบุรีรัมย์,1581184
21,จังหวัดสุรินทร์,1378221
22,จังหวัดศรีสะเกษ,1458580
23,จังหวัดอุบลราชธานี,1866697
24,จังหวัดยโสธร,534500
25,จังหวัดชัยภูมิ,1124924
26,จังหวัดอำนาจเจริญ,376195
27,จังหวัดบึงกาฬ,422042
28,จังหวัดหนองบัวลำภู,509470
29,จังหวัดขอนแก่น,1794531
30,จังหวัดอุดรธานี,1567983
31,จังหวัดเลย,638736
32,จังหวัดหนองคาย,517435
33,จังหวัดมหาสารคาม,953660
34,จังหวัดร้อยเอ็ด,1298640
35,จังหวัดกาฬสินธุ์,977175
36,จังหวัดสกลนคร,1146936
37,จังหวัดนครพนม,717201
38,จังหวัดมุกดาหาร,350911
39,จังหวัดเชียงใหม่,1784370
40,จังหวัดลำพูน,402011
41,จังหวัดลำปาง,728964
42,จังหวัดอุตรดิตถ์,448745
43,จังหวัดแพร่,437350
44,จังหวัดน่าน,476727
45,จังหวัดพะเยา,467356
46,จังหวัดเชียงราย,1295026
47,จังหวัดแม่ฮ่องสอน,284549
48,จังหวัดนครสวรรค์,1040308
49,จังหวัดอุทัยธานี,325868
50,จังหวัดกำแพงเพชร,714118
51,จังหวัดตาก,670265
52,จังหวัดสุโขทัย,587883
53,จังหวัดพิษณุโลก,849481
54,จังหวัดพิจิตร,532310
55,จังหวัดเพชรบูรณ์,981940
56,จังหวัดราชบุรี,869313
57,จังหวัดกาญจนบุรี,891976
58,จังหวัดสุพรรณบุรี,838628
59,จังหวัดนครปฐม,920729
60,จังหวัดสมุทรสาคร,586199
61,จังหวัดสมุทรสงคราม,192052
62,จังหวัดเพชรบุรี,482193
63,จังหวัดประจวบคีรีขันธ์,550678
64,จังหวัดนครศรีธรรมราช,1550721
65,จังหวัดกระบี่,477770
66,จังหวัดพังงา,268229
67,จังหวัดภูเก็ต,414471
68,จังหวัดสุราษฎร์ธานี,1067726
69,จังหวัดระนอง,194372
70,จังหวัดชุมพร,509208
71,จังหวัดสงขลา,1428609
72,จังหวัดสตูล,324098
73,จังหวัดตรัง,640574
74,จังหวัดพัทลุง,523077
75,จังหวัดปัตตานี,726015
76,จังหวัดยะลา,538602
77,จังหวัดนราธิวาส,804429
