CC-CODE,province
1,กรุงเทพมหานคร
2,จังหวัดสมุทรปราการ
3,จังหวัดนนทบุรี
4,จังหวัดปทุมธานี
5,จังหวัดพระนครศรีอยุธยา
6,จังหวัดอ่างทอง
7,จังหวัดลพบุรี
8,จังหวัดสิงห์บุรี
9,จังหวัดชัยนาท
10,จังหวัดสระบุรี
11,จังหวัดชลบุรี
12,จังหวัดระยอง
13,จังหวัดจันทบุรี
14,จังหวัดตราด
15,จังหวัดฉะเชิงเทรา
16,จังหวัดปราจีนบุรี
17,จังหวัดนครนายก
18,จังหวัดสระแก้ว
19,จังหวัดนครราชสีมา
20,จังหวัดบุรีรัมย์
21,จังหวัดสุรินทร์
22,จังหวัดศรีสะเกษ
23,จังหวัดอุบลราชธานี
24,จังหวัดยโสธร
25,จังหวัดชัยภูมิ
26,จังหวัดอำนาจเจริญ
27,จังหวัดบึงกาฬ
28,จังหวัดหนองบัวลำภู
29,จังหวัดขอนแก่น
30,จังหวัดอุดรธานี
31,จังหวัดเลย
32,จังหวัดหนองคาย
33,จังหวัดมหาสารคาม
34,จังหวัดร้อยเอ็ด
35,จังหวัดกาฬสินธุ์
36,จังหวัดสกลนคร
37,จังหวัดนครพนม
38,จังหวัดมุกดาหาร
39,จังหวัดเชียงใหม่
40,จังหวัดลำพูน
41,จังหวัดลำปาง
42,จังหวัดอุตรดิตถ์
43,จังหวัดแพร่
44,จังหวัดน่าน
45,จังหวัดพะเยา
46,จังหวัดเชียงราย
47,จังหวัดแม่ฮ่องสอน
48,จังหวัดนครสวรรค์
49,จังหวัดอุทัยธานี
50,จังหวัดกำแพงเพชร
51,จังหวัดตาก
52,จังหวัดสุโขทัย
53,จังหวัดพิษณุโลก
54,จังหวัดพิจิตร
55,จังหวัดเพชรบูรณ์
56,จังหวัดราชบุรี
57,จังหวัดกาญจนบุรี
58,จังหวัดสุพรรณบุรี
59,จังหวัดนครปฐม
60,จังหวัดสมุทรสาคร
61,จังหวัดสมุทรสงคราม
62,จังหวัดเพชรบุรี
63,จังหวัดประจวบคีรีขันธ์
64,จังหวัดนครศรีธรรมราช
65,จังหวัดกระบี่
66,จังหวัดพังงา
67,จังหวัดภูเก็ต
68,จังหวัดสุราษฎร์ธานี
69,จังหวัดระนอง
70,จังหวัดชุมพร
71,จังหวัดสงขลา
72,จังหวัดสตูล
73,จังหวัดตรัง
74,จังหวัดพัทลุง
75,จังหวัดปัตตานี
76,จังหวัดยะลา
77,จังหวัดนราธิวาส
